Source,Target,type,id,mention,Weight,who
39,240,Directed,291,mentioned,1,Phamea
39,16,Directed,292,mentioned,1,P. Sestius
39,238,Directed,293,inferred,1,Tigellius
39,37,Directed,294,inferred,1,Caesar
39,114,Directed,295,mentioned,1,P. Cornelius Lentulus Spinther (son)
39,241,Directed,296,mentioned,1,C. Ancius
23,37,Directed,297,mentioned,1,Caesar
40,37,Directed,298,inferred,2,Caesar
40,169,Directed,299,mentioned,1,Atticus
40,242,Directed,300,mentioned,2,Q. Fabius Maximus
40,243,Directed,301,mentioned,1,C. Caninius Rebilius
40,66,Directed,302,mentioned,2,Manius Acilius Glabrio
40,9,Directed,303,mentioned,1,Servius Sulpicius Rufus
41,16,Directed,304,mentioned,1,P. Sestius
41,43,Directed,305,mentioned,2,Dolabella
41,244,Directed,306,mentioned,1,Selius
41,37,Directed,307,mentioned,1,Caesar
41,195,Directed,308,mentioned,1,Aulus Hirtius
41,56,Directed,309,mentioned,1,C. Cassius Longius
42,169,Directed,310,mentioned,3,Atticus
42,106,Directed,311,mentioned,3,L. Caninius Gallus
42,245,Directed,312,mentioned,1,Diodotus the Stoic
42,246,Directed,313,mentioned,1,Cotius
42,17,Directed,314,inferred,1,Pompey
42,37,Directed,315,inferred,2,Caesar
42,37,Directed,316,mentioned,1,Caesar
42,195,Directed,317,mentioned,1,Aulus Hirtius
42,59,Directed,318,mentioned,1,C. Oppius
42,29,Directed,319,mentioned,1,L. Cornelius Balbus
42,247,Directed,320,mentioned,1,M. Seius
42,248,Directed,321,mentioned,1,L. Julius Caesar V
42,43,Directed,322,mentioned,1,Dolabella
42,249,Directed,323,inferred,1,L. Julius Caesar IV
43,236,Directed,324,mentioned,1,Curtius Nicas
43,250,Directed,325,mentioned,1,Vidius
43,212,Directed,326,mentioned,1,T. Munatius Plancus Bursa
43,180,Directed,327,mentioned,1,Sulla
43,37,Directed,328,mentioned,3,Caesar
43,85,Directed,329,inferred,1,Tullia
43,137,Directed,330,inferred,1,Quintus Tullius Cicero Minor
43,251,Directed,331,mentioned,1,Deiotarus of Galatia
43,252,Directed,332,mentioned,1,C. Subernius of Cales
43,33,Directed,333,mentioned,1,Q. Lepta
43,42,Directed,334,mentioned,1,Varro
43,100,Directed,335,mentioned,1,L. Afranius
43,253,Directed,336,mentioned,1,M. Planius Heres
43,17,Directed,337,mentioned,1,Pompey
43,254,Directed,338,mentioned,1,T. Quintus Scapula
43,249,Directed,339,mentioned,1,L. Julius Caesar IV
43,55,Directed,340,mentioned,1,Marcus Junius Brutus
43,255,Directed,341,inferred,1,Hierophilus
43,57,Directed,342,inferred,1,Marc Anthony
44,257,Directed,343,mentioned,1,Q. Granius
44,256,Directed,344,mentioned,2,L. Licinius Crassus
44,258,Directed,345,mentioned,1,Q. Lutatius Catulus
44,180,Directed,346,mentioned,1,Sulla
44,71,Directed,347,mentioned,1,P. Silius Nerva
44,37,Directed,348,mentioned,1,Caesar
44,43,Directed,349,mentioned,1,Dolabella
44,195,Directed,350,mentioned,3,Aulus Hirtius
44,240,Directed,351,mentioned,1,Phamea
44,110,Directed,352,mentioned,1,Q. Selicius
44,259,Directed,353,mentioned,1,Servius Claudius
44,189,Directed,354,mentioned,2,L. Cornelius Balbus
44,260,Directed,355,mentioned,1,Dionysius II of Syracuse
44,17,Directed,356,mentioned,2,Pompey
44,87,Directed,357,mentioned,1,M. Porcius Cato
44,100,Directed,358,mentioned,1,L. Afranius
44,206,Directed,359,mentioned,1,L. Cornelius Lentulus Crus
44,233,Directed,360,mentioned,1,Q. Caecilius Metellus Pius Scipio Nasica
44,261,Directed,361,mentioned,1,Haterius
44,37,Directed,362,inferred,1,Caesar
44,43,Directed,363,inferred,1,Dolabella
44,262,Directed,364,mentioned,2,Verrius
44,263,Directed,365,mentioned,1,Camillus
44,264,Directed,366,mentioned,1,Rubria
44,265,Directed,367,mentioned,1,Roscius
1,266,Directed,368,mentioned,1,Cinna
1,267,Directed,369,mentioned,1,Terence
